Major Players & Where Their Money Goes                                                                        ,                                 ,                 ,               ,                                                                                           ,                                           , 
Approximate figures from 2024-2025 reporting; see Sources sheet. Assets and grants in $ billions unless noted.,                                 ,                 ,               ,                                                                                           ,                                           , 
                                                                                                              ,                                 ,                 ,               ,                                                                                           ,                                           , 
Player                                                                                                        , Type                            , Assets ($B)     , Annual giving , Where the money has gone                                                                  , Payout / behavior                         , Notes
Novo Nordisk Foundation (DK)                                                                                  , Corporate-linked independent fdn, 167             , ~$1B+         , "Biomedical research, life sciences, global health innovation"                            , 5% norms                                  , World's largest; controls Novo Nordisk via holding co.
Tata Trusts (IN)                                                                                              , Family/independent trusts       , 100+            , n/a           , "Health, education, rural development in India"                                           , Active grantmaking                        , 2nd largest globally
Lilly Endowment                                                                                               , Independent (Eli Lilly stock)   , 79.9            , $2.3B         , "Indiana education, community development, and religion"                                  , Pays >5%; very Indiana-focused            , Largest US private foundation by assets
Bill & Melinda Gates Foundation                                                                               , Independent foundation          , 78.7            , $5.9B-$8.6B   , "Global health (polio ~$3.2B, vaccines ~$2.9B, infectious disease), poverty, US education", High payout; pledged to spend down by 2045, ~80% of WHO grants went to infectious disease
Ford Foundation                                                                                               , Independent foundation          , ~16             , $0.768B       , "Civil & human rights (20%), arts/culture/media (16%), civic participation (16%)"         , ~5%; social-justice focus                 , Most grants to worldwide-reach initiatives
Fidelity Charitable                                                                                           , National DAF sponsor            , ~50 (DAF assets), $14.9B granted, "Donor-recommended grants to 213,000 nonprofits"                                          , No payout rule; granted heavily in 2024   , #1 US fundraiser; took in ~$16B in 2024
National Philanthropic Trust                                                                                  , National DAF sponsor            , large           , $14B+ in      , Donor-recommended grants across causes                                                    , No payout rule                            , Also publishes the annual DAF Report
DAFgiving360 (ex-Schwab Charitable)                                                                           , National DAF sponsor            , large           , $9B+ in       , Donor-recommended grants                                                                  , No payout rule                            , Rebranded from Schwab Charitable
Silicon Valley Community Foundation                                                                           , Community foundation            , 11              , $1.54B        , "6,000+ nonprofits; $327M directly to Bay Area orgs"                                      , "Active, but big DAF book"                , Largest US community foundation
Chicago Community Trust                                                                                       , Community foundation            , 6.06            , ~$0.4B+       , "Chicago-region equity, housing, civic needs"                                             , Active community grants                   , Among largest community foundations
Tulsa Community Foundation                                                                                    , Community foundation            , 4.2             , n/a           , Tulsa-region civic and community projects                                                 , Largely asset-holding                     , 2nd largest community foundation by assets
