Sources                                  ,                                                                        , 
                                         ,                                                                        , 
Topic                                    , Source                                                                 , URL
Foundation/DAF type definitions          , Council on Foundations; Fidelity Charitable; NPTrust                   , https://cof.org/content/foundation-basics
Largest foundations & assets             , Wikipedia: List of wealthiest charitable foundations; Foundation List  , https://en.wikipedia.org/wiki/List_of_wealthiest_charitable_foundations
Lilly Endowment / Gates assets & grants  , Celebrity Net Worth: 20 Largest US Private Foundations                 , https://www.celebritynetworth.com/articles/celebrity/largest-private-philanthropic-foundations-us-money-came/
Gates grants to WHO / global health split, BMJ Group; PMC analysis of Gates-WHO grants                            , https://bmjgroup.com/world-health-organizations-priorities-shaped-by-its-reliance-on-grants-from-donor-organisations-such-as-the-gates-foundation/
Gates 2024 budget                        , Gates Foundation press release                                         , https://www.gatesfoundation.org/ideas/media-center/press-releases/2024/01/annual-budget-funding-future-health
Ford Foundation grant areas 2024         , DevelopmentAid; Ford Foundation                                        , https://www.developmentaid.org/news-stream/post/206666/top-grantees-and-funding-priorities-of-the-ford-foundation-in-2024-2025
DAF sponsor rankings & flows             , NPTrust Top 10 DAF Charities; Inequality.org                           , https://www.nptrust.org/philanthropic-resources/philanthropist/top-10-daf-charities-by-grants/
DAF market size & sponsor counts         , NPTrust DAF Report                                                     , https://www.nptrust.org/reports/daf-report/
Community foundation sizes               , Philanthropy.com; InfluenceWatch; SVCF                                 , https://www.svcf.org/nonprofits/grants
DAF/foundation payout criticism          , Inequality.org / Institute for Policy Studies; Philanthropy News Digest, https://inequality.org/article/dafs-americas-top-charities/
5% payout rule                           , Philanthropy Roundtable                                                , https://www.philanthropyroundtable.org/resource/private-foundations-and-the-5-percent-payout-rule/
